sasdate,PC1,PC2,cluster
1967-08-01,0.3057978343607725,0.8615126959985232,0
1967-09-01,0.021084561983799464,0.3356648021047549,0
1967-10-01,0.08674968146363189,0.2848977756899673,0
1967-11-01,0.059471833171225355,0.8088976259223132,0
1967-12-01,0.011850443200069137,0.4070739758801393,0
1968-01-01,-0.19306424822371562,-0.08730743692479148,0
1968-02-01,0.29893051451237296,0.5250912741696238,0
1968-03-01,0.17379241868980835,0.709832685890661,0
1968-04-01,0.0039957516843552665,0.5218687946114665,0
1968-05-01,-0.1709046155682339,0.03944843365847337,0
1968-06-01,-0.12772641394722284,-0.0955600165830506,0
1968-07-01,-0.13466932115683483,0.15357670130082607,0
1968-08-01,-0.04079324160291496,0.29811994665752467,0
1968-09-01,-0.0010257188428105398,0.1893797097902436,0
